City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Det Udom,TH,2021-10-18 19:47:17,14.906,105.0784,75.02,95,100,3.2
89,Kaitangata,NZ,2021-10-18 19:47:18,-46.2817,169.8464,48.92,72,100,6.69
90,Kutum,SD,2021-10-18 19:39:31,14.2,24.6667,79.95,17,4,8.3
91,Tucuman,AR,2021-10-18 19:44:04,-26.8241,-65.2226,75.2,33,40,6.91
92,Georgetown,MY,2021-10-18 19:45:32,5.4112,100.3354,82.89,87,20,1.99
93,Bafq,IR,2021-10-18 19:47:19,31.6128,55.4107,75.13,17,0,9.17
94,Gamba,GA,2021-10-18 19:47:19,-2.65,10.0,76.12,85,100,7.81
95,Tiksi,RU,2021-10-18 19:47:20,71.6872,128.8694,16.77,90,100,11.88
96,Mar Del Plata,AR,2021-10-18 19:38:27,-38.0023,-57.5575,59.02,43,0,8.01
97,Tricase,IT,2021-10-18 19:47:21,39.9304,18.3553,54.75,76,7,12.88
98,Ellensburg,US,2021-10-18 19:41:16,46.9965,-120.5479,64.94,51,1,13.0
99,Klaksvik,FO,2021-10-18 19:47:22,62.2266,-6.589,50.92,97,100,35.95
100,Yellowknife,CA,2021-10-18 19:43:54,62.456,-114.3525,34.41,87,75,1.01
101,Balkhash,KZ,2021-10-18 19:43:21,46.844,74.9804,46.04,49,0,15.37
102,Mecca,SA,2021-10-18 19:42:26,21.4267,39.8261,86.99,40,2,4.25
103,Tasiilaq,GL,2021-10-18 19:46:21,65.6145,-37.6368,33.96,49,100,4.85
104,Puerto Ayora,EC,2021-10-18 19:43:43,-0.7393,-90.3518,78.76,80,85,10.22
105,Ler,SS,2021-10-18 19:47:25,8.3018,30.1418,77.25,74,15,4.03
106,Punta Alta,AR,2021-10-18 19:44:46,-38.8759,-62.0736,72.01,29,5,4.52
107,Hobart,AU,2021-10-18 19:45:28,-42.8794,147.3294,48.06,85,75,3.0
108,Cape Town,ZA,2021-10-18 19:40:54,-33.9258,18.4232,60.12,64,0,4.0
109,Lebu,CL,2021-10-18 19:47:26,-37.6167,-73.65,56.32,72,0,18.88
110,Severo-Kurilsk,RU,2021-10-18 19:47:27,50.6789,156.125,37.71,76,91,18.25
111,Kulhudhuffushi,MV,2021-10-18 19:42:58,6.6221,73.07,82.0,72,98,15.12
112,Nantucket,US,2021-10-18 19:43:49,41.2835,-70.0995,60.96,58,10,18.68
113,Namibe,AO,2021-10-18 19:46:15,-15.1961,12.1522,64.0,83,53,7.16
114,Cidreira,BR,2021-10-18 19:44:32,-30.1811,-50.2056,63.48,68,85,8.25
115,Bredasdorp,ZA,2021-10-18 19:43:15,-34.5322,20.0403,51.28,74,0,3.8
116,Torbay,CA,2021-10-18 19:43:31,47.6666,-52.7314,46.27,91,75,14.97
117,Blagoyevo,RU,2021-10-18 19:47:28,63.3667,47.9167,31.84,93,89,5.32
118,Atuona,PF,2021-10-18 19:45:52,-9.8,-139.0333,77.72,77,37,20.83
119,Makakilo City,US,2021-10-18 19:40:20,21.3469,-158.0858,80.92,59,20,9.22
120,Pitea,SE,2021-10-18 19:47:29,65.3172,21.4794,30.29,90,50,5.14
121,Lasa,IT,2021-10-18 19:37:39,46.6166,10.7002,45.01,60,100,2.19
122,Honiara,SB,2021-10-18 19:47:30,-9.4333,159.95,78.8,86,6,2.53
123,Salalah,OM,2021-10-18 19:46:23,17.0151,54.0924,80.69,83,75,4.61
124,Provideniya,RU,2021-10-18 19:47:30,64.3833,-173.3,28.47,78,100,27.81
125,Shetpe,KZ,2021-10-18 19:47:31,44.1667,52.1167,56.46,23,83,3.2
126,Zlobin,HR,2021-10-18 19:47:31,45.2924,14.6541,51.1,62,0,8.05
127,Mugur-Aksy,RU,2021-10-18 19:47:31,50.35,90.5,18.7,68,100,5.19
128,Plerin,FR,2021-10-18 19:47:32,48.5425,-2.7798,64.72,95,90,4.0
129,Krupanj,RS,2021-10-18 19:47:32,44.3656,19.3619,46.87,86,49,1.54
130,Hirara,JP,2021-10-18 19:47:33,24.8,125.2833,77.31,72,78,9.44
131,Qaanaaq,GL,2021-10-18 19:43:41,77.484,-69.3632,26.15,68,100,11.25
132,Kingston,JM,2021-10-18 19:46:52,17.997,-76.7936,88.75,75,20,12.66
133,Mahebourg,MU,2021-10-18 19:43:37,-20.4081,57.7,74.25,78,75,11.5
134,Victoria,HK,2021-10-18 19:44:15,22.2855,114.1577,77.32,81,99,1.99
135,Eureka,US,2021-10-18 19:36:45,40.8021,-124.1637,57.2,87,52,4.0
136,Barrow,US,2021-10-18 19:43:19,71.2906,-156.7887,10.42,79,20,4.61
137,Wladyslawowo,PL,2021-10-18 19:47:34,54.7909,18.4009,48.94,54,100,3.4
138,Ribeira Grande,PT,2021-10-18 19:47:35,38.5167,-28.7,70.2,73,20,17.27
139,Dingle,PH,2021-10-18 19:37:41,10.9995,122.6711,76.68,94,72,6.51
140,Esperance,AU,2021-10-18 19:43:42,-33.8667,121.9,60.64,71,100,5.03
141,Elena,BG,2021-10-18 19:47:36,42.9333,25.8833,56.5,84,72,1.1
