City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
127,Kabo,CF,7.6994,18.629,72.84,95,100,3.53,light rain
128,Port Elizabeth,ZA,-33.918,25.5701,52.11,67,0,4.99,clear sky
129,Kapaa,US,22.0752,-159.319,80.58,76,38,5.99,light rain
130,Tukrah,LY,32.5341,20.5791,71.56,58,100,9.35,overcast clouds
131,Kirakira,SB,-10.4544,161.9205,79.9,82,75,3.83,broken clouds
132,Sucre,BO,-19.0333,-65.2627,63.3,46,92,17.76,overcast clouds
133,Sloboda,RU,51.1421,40.3021,45.43,72,100,6.55,overcast clouds
134,Pandharpur,IN,17.6667,75.3333,74.32,76,16,8.1,few clouds
135,Gusau,NG,12.1628,6.6614,80.78,61,66,8.25,light rain
136,Te Anau,NZ,-45.4167,167.7167,50.41,85,100,4.21,light rain
137,Mehamn,NO,71.0357,27.8492,35.78,93,90,23.02,light shower snow
138,Geraldton,AU,-28.7667,114.6,63.01,94,75,27.63,shower rain
139,Mabaruma,GY,8.2,-59.7833,84.56,71,53,5.01,broken clouds
140,San Joaquin,US,37.9333,-121.3011,64.18,53,20,0.0,few clouds
141,Anadyr,RU,64.75,177.4833,32.0,97,100,40.0,snow
142,Tiksi,RU,71.6872,128.8694,16.77,90,100,11.88,overcast clouds
143,Hobart,AU,-42.8794,147.3294,48.06,85,75,1.99,broken clouds
144,Kilindoni,TZ,-7.9139,39.6668,77.72,82,67,13.73,broken clouds
145,Smolenka,RU,52.1352,113.4974,17.67,93,13,4.47,few clouds
146,Yulara,AU,-25.2406,130.9889,77.49,21,95,5.37,overcast clouds
147,Nome,US,64.5011,-165.4064,18.16,90,100,6.49,overcast clouds
148,Eureka,US,40.8021,-124.1637,58.19,69,52,5.99,broken clouds
149,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,83,75,8.05,light intensity drizzle
150,Aden,YE,12.7794,45.0367,86.68,67,8,9.6,clear sky
151,Esperance,AU,-33.8667,121.9,60.64,71,100,5.03,overcast clouds
152,Laguna,US,38.421,-121.4238,65.25,54,40,1.99,scattered clouds
153,Tambacounda,SN,13.7539,-13.7586,86.13,49,100,6.96,overcast clouds
154,Kalmunai,LK,7.4167,81.8167,80.35,80,95,2.62,overcast clouds
155,Karasjok,NO,69.4719,25.5112,28.51,90,100,9.15,overcast clouds
156,Dharchula,IN,29.85,80.5333,64.09,97,100,2.8,overcast clouds
157,Mar Del Plata,AR,-38.0023,-57.5575,59.02,43,0,8.01,clear sky
158,Puerto Penasco,MX,31.3167,-113.5333,74.91,62,1,18.01,clear sky
159,Vila,PT,42.0304,-8.1588,58.33,85,60,4.21,broken clouds
160,Santa Maria,BR,-29.6842,-53.8069,70.77,60,52,6.58,broken clouds
161,Olafsvik,IS,64.8945,-23.7142,40.08,91,100,35.34,overcast clouds
162,Severo-Kurilsk,RU,50.6789,156.125,37.71,76,91,18.25,light rain
163,Lyngseidet,NO,69.5763,20.2189,30.29,88,100,7.45,light snow
164,Shimoda,JP,34.6667,138.95,57.31,89,100,15.66,moderate rain
165,Flin Flon,CA,54.7682,-101.865,44.08,71,88,15.64,overcast clouds
166,Meulaboh,ID,4.1363,96.1285,78.06,84,100,3.42,overcast clouds
167,Puerto Ayora,EC,-0.7393,-90.3518,71.13,80,85,10.22,overcast clouds
168,Keetmanshoop,NA,-26.5833,18.1333,65.1,8,45,12.1,scattered clouds
169,Chesterton,US,41.6106,-87.0642,75.02,38,1,1.01,haze
170,Sawtell,AU,-30.3833,153.1,56.19,99,100,2.3,overcast clouds
171,Sabang,ID,5.8933,95.3214,82.38,73,100,3.11,overcast clouds
172,Perbaungan,ID,3.5679,98.956,78.91,85,100,3.89,overcast clouds
173,Kununurra,AU,-15.7667,128.7333,76.98,69,18,2.3,few clouds
174,Boa Vista,BR,2.8197,-60.6733,93.18,43,40,5.75,scattered clouds
175,Calama,CL,-22.4667,-68.9333,71.04,8,81,18.88,broken clouds
176,Gewane,ET,10.1664,40.6453,87.31,19,34,5.08,scattered clouds
177,Kintinku,TZ,-5.8833,35.2333,79.03,44,33,7.02,scattered clouds
178,Pisco,PE,-13.7,-76.2167,67.01,80,56,7.74,broken clouds
179,Bratsk,RU,56.1325,101.6142,28.89,86,54,3.76,broken clouds
180,Cabedelo,BR,-6.9811,-34.8339,80.28,73,100,11.12,overcast clouds
181,Batagay-Alyta,RU,67.8006,130.4114,0.79,85,100,2.26,overcast clouds
182,Ostrovnoy,RU,68.0531,39.5131,37.26,82,100,28.61,overcast clouds
183,Chumikan,RU,54.7183,135.315,19.44,74,5,17.74,clear sky
184,Saldanha,ZA,-33.0117,17.9442,57.25,76,2,18.03,clear sky
185,Cabinda,AO,-5.55,12.2,76.28,83,93,8.34,overcast clouds
186,Puerto Quijarro,BO,-17.7833,-57.7667,86.5,47,100,6.98,overcast clouds
187,Luderitz,NA,-26.6481,15.1594,74.37,23,100,17.07,overcast clouds
188,Mount Gambier,AU,-37.8333,140.7667,45.09,93,41,3.11,scattered clouds
189,Kavaratti,IN,10.5669,72.642,81.57,74,100,8.19,overcast clouds
